Application,OS,Database,vRAM,vCPU,RAID 5 GP1,RAID 1/0 GP2,RAID 5 GP3,RAID 5 GP4,IOPS,Interface1,Interface2,Interface3,Notes
CCA - ATNA audit log server,MS 2012 R2 Std,,4,1,60,0,0,0,50,Fiber Channel,SAS,GigE,See installation  manual DOC1474072
CCA - ATNA audit log DB server,MS 2012 R2 Std,MS SQL 2014 Std,4,1,125,0,0,0,50,Fiber Channel,SAS,GigE,OS - 60GB / DB - 65GB expanding based upon data retention policy requirements / See installation  manual DOC1474072
CCA - ATR/MM/UV-ZFP-XDS database server ,MS 2012 R2 Std,MS SQL 2014 Std,12,4,350,0,0,0,200,Fiber Channel,SAS,GigE,"60 GB Ð OS/Database selected off of calculation tab / If ILM, Migrations, XDS submissions, etc., then memory needs to be increased to meet appropriate needs of all activities."
CCA - AIM Standalone Server,MS 2012 R2 Std,,6,6,60,0,0,0,100,Fiber Channel,SAS,GigE,60 GB - OS
CCA - EA Database only,MS 2012 R2 Std,MS SQL 2014 Std,4,4,60,0,0,0,500,Fiber Channel,SAS,GigE,60 GB Ð OS / Database selected off of calculation tab
CCA - EA all-in-one (Standalone) ,MS 2012 R2 Std,MS SQL 2014 Std,10,12,60,0,0,0,300,Fiber Channel,SAS,GigE,"60 GB Ð OS / Database selected off of calculation tab / If ILM, Migrations, XDS submissions, etc., then memory needs to be increased to meet appropriate needs of all activities."
CCA - EA App Server primary,MS 2012 R2 Std,,6,8,60,0,0,0,100,Fiber Channel,SAS,GigE,"60GB OS / If ILM, Migrations, XDS submissions, etc., then memory needs to be increased to meet appropriate needs of all activities."
CCA - EA App Server secondary,MS 2012 R2 Std,,6,4,60,0,0,0,100,Fiber Channel,SAS,GigE,60GB OS
CCA - UV-ZFP combined application and database (DICOM & XDS database for PIV) (50 CCU),MS 2012 R2 Std,MS SQL 2014 Std,32,8,92,0,300,0,500,Fiber Channel,SAS,GigE,"60 GB Ð OS/150>GB - Cache - can be on another drive and adjusted for the site /  Database is calcultate based on records entered on the calculation tap P10, each record is 10K, and addition 2GB is added to cover filters, flags, and user audits, recommended database be slit out into it's own RAID group."
CCA - UV-ZFP database (XDS Database for PIV) ,MS 2012 R2 Std,MS SQL 2014 Std,16,4,92,0,0,0,200,Fiber Channel,SAS,GigE,"60 GB Ð OS/ Database is calcultate based on records entered on the calculation tap P10, each record is 10K, and addition 2GB is added to cover filters, flags, and user audits"
CCA - UV-ZFP Application node only  (DICOM &/or XDS apps server) (50 CCU),MS 2012 R2 Std,,16,4,60,0,300,0,100,Fiber Channel,SAS,GigE,60 GB Ð OS/150GB Cache - can be on another drive and adjusted for the site
CCA - GE (ICW) XDS Registry DB server,MS 2012 R2 Std,MS SQL 2014 Std,16,8,0,116,0,0,210,Fiber Channel,SAS,GigE,"500GB (10K RPM) RAID 1 Ð (5) disk drives  (>70GB 15K RPM RAID 1 (OS) & 1TB iSCSI or fiber channel SAN or Solid State drives RAID recommended), Each Patient Registration uses 10kb, Each Document Registration uses 12kb, NOTE:  Example of 1 Million Patients and 500,000 documents uses at least 16GB of database disk space. "
CCA - GE (ICW) XDS Registry App server ,MS 2012 R2 Std,,16,8,0,80,0,0,500,Fiber Channel,SAS,GigE,600GB disk space minimum  (>70GB 15K RPM RAID 10 recommended)
CCA - Media Manager app for load balance ,MS 2012 R2 Std,,4,2,60,0,0,0,100,Fiber Channel,SAS,GigE,60 GB Ð OS
CCA - Media Manager with Database only ,MS 2012 R2 Std,MS SQL 2014 Std,4,2,160,0,0,0,100,Fiber Channel,SAS,GigE,60 GB Ð OS/100GB database
CCA - Media Manager with app and Database,MS 2012 R2 Std,MS SQL 2014 Std,8,4,160,0,0,0,100,Fiber Channel,SAS,GigE,60 GB Ð OS/100GB database
CCA - ICW eMPI Database server,MS 2012 R2 Std,MS SQL 2014 Std,16,8,0,77,0,0,500,Fiber Channel,SAS,GigE,60GB - OS / _ Each Patient Local MRN Record uses 3.5kb + 3.5kb for enterprise account 
CCA - ICW eMPI web server ,MS 2012 R2 Std,,8,8,0,240,0,0,100,Fiber Channel,SAS,GigE,60GB - OS / Additional 20kb per message
CCA - NextGate eMPI DB server (3.75GB database per 1 Million records),MS 2012 R2 Std,MS SQL 2014 Std,80,20,0,79,0,0,500,Fiber Channel,SAS,GigE,60 GB Ð OS/ database data base is calculated with 3.75K per record entered on the calculation tab K8 / CPU is calculated from J8
CCA - NextGate eMPI App server (Supports 200K transactions per day) ,MS 2012 R2 Std,,16,4,0,60,0,0,100,Fiber Channel,SAS,GigE,60 GB Ð OS/
CCA - CCG Server with no Database or DMWL.,MS 2012 R2 Std,,12,4,0,100,0,0,100,Fiber Channel,SAS,GigE,XDS Registry: 50 GB / eMPI: 10 GB / rounded up to 100 GB including Windows OS
"CCG - Large/regional, msg only, no DMWL",MS 2012 R2 Std,MS SQL 2014 Std,12,4,265,0,0,0,100,Fiber Channel,SAS,GigE,"For a CCG in a datacenter of a regional project, or at a very large site, without DICOM Modality Work List."
"CCG - Small/local, messaging only, no DMWL",MS 2012 R2 Std,MS SQL 2014 Std,12,4,265,0,0,0,50,Fiber Channel,SAS,GigE,"For a local CCG at a small to mid-size site, without DICOM Modality Work List."
CCG - with database (DMWL),MS 2012 R2 Std,MS SQL 2014 Std,12,4,265,0,0,0,300,Fiber Channel,SAS,GigE,CCG with a DICOM Modality Work List (requires a SQL server license)
CCW - App Server,MS 2012 R2 Std,,8,8,100,0,0,0,100,Fiber Channel,SAS,GigE,More than 80 CCU ( plus Database server)
CCW - Database Server Large,MS 2012 R2 Std,MS SQL 2012 Std,24,12,1229,0,0,0,600,Fiber Channel,SAS,GigE,More  than 80 CCU and more than 20000 studies /year ( plus Application Server)
CCW - Database Server Medium ,MS 2012 R2 Std,MS SQL 2012 Std,24,8,900,0,0,0,500,Fiber Channel,SAS,GigE,More than 80 CCU and less than 20000 studies /year ( plus Application Server)
CCW - Database/App Server (Large),MS 2012 R2 Std,MS SQL 2012 Std,24,12,1229,300,0,0,600,Fiber Channel,SAS,GigE,Up to 80 CCU and more than 20000 studies /year
CCW - Database/App Server (Medium),MS 2012 R2 Std,MS SQL 2012 Std,24,8,900,300,0,0,500,Fiber Channel,SAS,GigE,Up to 80 CCU and less than 20000 studies /year
CCW - Interface server,MS 2012 R2 Std,,8,12,100,0,0,0,100,Fiber Channel,SAS,GigE,1 per site
CCW - TEST Database/App Server,MS 2012 R2 Std,MS SQL 2012 Std,16,8,600,300,0,0,100,Fiber Channel,SAS,GigE,
CPACS - CDPS,MS 2012 R2 Std,,2,2,76,0,0,0,100,Fiber Channel,SAS,GigE,
CPACS - DAS,RHEL5.8/6.8,,4,2,76,0,0,0,100,Fiber Channel,SAS,GigE,
CPACS - DBRep,RHEL5.8/6.8,,8,4,76,0,0,0,100,Fiber Channel,SAS,GigE,
CPACS - IMS 1800-3500TB,RHEL5.8/6.8,Sybase 12.5.4/15.7,64,16,7772,0,0,0,2000,Fiber Channel,SAS,GigE,76 GB - OS/216 GB Ð Logs/3708 GB Ð IMS/3772 GB - DBCC
CPACS - IMS 550-1800GB,RHEL5.8/6.8,Sybase 12.5.4/15.7,64,16,4172,0,0,0,1500,Fiber Channel,SAS,GigE,76 GB - OS/216 GB Ð Logs/1908 GB Ð IMS/1972 GB - DBCC
CPACS - IMS 300-550GB,RHEL5.8/6.8,Sybase 12.5.4/15.7,32,16,1528,0,0,0,1000,Fiber Channel,SAS,GigE,76 GB - OS/216 GB Ð Logs/584 GB Ð IMS/652 GB - DBCC
CPACS - IMS 300GB,RHEL5.8/6.8,Sybase 12.5.4/15.7,16,4,1000,0,0,0,300,Fiber Channel,SAS,GigE,76 GB - OS/216 GB Ð Logs/324 GB Ð IMS/384 GB - DBCC
CPACS - Coord,RHEL5.8/6.8, ,8,4,76,0,0,0,100,GigE,SAS,GigE, 
CPACS - ITS/C2C,RHEL5.8/6.8,,4,2,76,0,0,0,100,Fiber Channel,SAS,GigE,
CPACS - IV Image Volume (one per 12TB of NAS to expose from SAN),RHEL5.8/6.8,,4,4,176,0,0,0,100,Fiber Channel,SAS,GigE,
CPACS - SPS Monitoring server,MS 2012 R2 Std,,4,2,85,0,0,0,100,Fiber Channel,SAS,GigE,
CPACS - UV - AW Server node (16k / 8k slices for small node),Suse Linux 11,,24,8,,70,0,0,300,Fiber Channel,SAS,GigE,"70GB - OS - 4 users per node, 6 nodes max"
CPACS - UV Controller w/ UV database,MS 2012 R2 Std,MS SQL 2012 Std,16,8,300,60,0,0,300,Fiber Channel,SAS,GigE,"60GB - OS, 300GB - Data partition"
CPACS - UV Node (up to 50 CCU per node),MS 2012 R2 Std,,16,8,300,60,0,0,100,Fiber Channel,SAS,GigE,"60GB - OS, 300GB - Data partition"
CPACS - UV Node (up to 50 CCU per node) - Separate UV web server OR Dakota,MS 2012 R2 Std,,32,8,250,0,0,0,100,Fiber Channel,SAS,GigE,"250GB - OS, Data partition"
"CPACS - UV-ZFP server (600 st/hr, max 50 CCU)",MS 2012 R2 Std,,32,8,60,300,0,0,210,Fiber Channel,SAS,GigE,"60GB - OS, 300GB - Data partition - 8GB is the minimum spec"
CPACS - XED Services (Xbus and/or X-Services ; or up to 4 X-Provider),MS 2012 R2 Std,,8,8,60,0,0,0,50,Fiber Channel,SAS,GigE,60GB - OS+Application
